cpu,memory,errors,response_time,failure
1551,42.8,0,308.6,0
1408,46.3,3,308.7,0
1498,49.4,5,308.5,0
1433,39.5,7,308.6,0
1408,40,9,308.7,0
1425,41.9,11,308.6,0
1558,42.4,14,308.6,0
1527,40.2,16,308.6,0
1667,28.6,18,308.7,0
1741,28,21,309,0
1782,23.9,24,308.9,0
1423,44.3,29,309.1,0
1339,51.1,34,309.1,0
1742,30,37,309.2,0
2035,19.6,40,309.2,0
1542,48.4,42,309.2,0
1311,46.6,44,309.2,0
1410,45.6,47,309.2,0
1306,54.5,50,309.2,0
1632,32.5,55,309.3,0
1375,42.7,58,309.3,0
1450,44.8,63,309.3,0
1581,30.7,65,309.3,0
1758,25.7,68,309.4,0
1561,37.3,70,309.4,0
1861,23.3,73,309.5,0
1512,39,75,309.5,0
1811,24.6,77,309.4,0
1439,44.2,82,309.4,0
1693,30.1,84,309.4,0
1339,48.2,86,309.5,0
1798,25.5,89,309.4,0
1419,48.3,91,309.4,0
1665,32.5,93,309.3,0
1559,34.7,95,309.1,0
1452,48.6,98,309.2,0
1581,36.7,101,309.2,0
1439,39.2,104,309.1,0
1379,50.7,106,309.2,0
1350,52.5,111,309.1,0
1362,45.4,113,309.1,0
1368,50.8,115,309.1,0
1368,49.1,117,309.1,0
1372,48.5,120,309.2,0
1472,47.5,125,309.1,0
1489,49.1,128,309.1,0
1843,25.8,130,309,0
1418,46.3,133,309.1,0
1425,53.9,135,309.2,0
1412,44.1,140,309.2,0
2861,4.6,143,309.1,1
1383,54.9,145,309.1,0
1497,43.8,147,309,0
1565,35.1,152,309,0
1691,30.1,154,309,0
1512,40.7,156,309.1,0
1477,42.4,158,309.1,0
1513,40.3,160,309.1,0
1661,29.5,162,309,0
1378,54.4,165,309.1,0
1393,52.6,167,309.1,0
1592,38.2,169,309,0
1829,22.9,172,309,0
1812,25.9,174,309,0
1523,38.6,177,309.1,0
1394,45.1,179,309.1,0
1679,28.7,181,308.9,0
1466,44.1,184,308.9,0
1527,32.4,189,308.9,0
1410,65.7,191,309,1
1924,22.6,193,309,0
1452,45.5,196,309.1,0
1369,44.4,198,309.1,0
1592,35,200,309.1,0
1601,32.3,202,309,0
1379,46.7,204,308.9,0
1461,47.9,206,308.9,0
1455,41.3,208,308.9,1
1398,51.5,0,308.9,0
1402,37.9,2,308.9,0
1445,49.9,4,308.8,0
1450,47.5,9,308.9,0
1453,40.8,11,308.9,0
1469,40.1,13,309,0
1422,47.6,15,308.9,0
1804,26.8,17,309,0
1436,43.9,20,309,0
1544,31.8,25,309,0
1419,45.2,27,309,0
1487,39.5,30,308.9,0
1753,25.8,33,308.9,0
1830,24.9,35,308.9,0
1727,27.1,37,308.9,0
1450,43,40,309,0
1622,31.9,42,308.9,0
1351,52.2,44,309,0
1575,35.3,47,309,0
1750,29.9,50,308.9,0
1529,32.7,53,308.8,0
1523,44.4,55,308.8,0
1852,25,57,308.9,0
1991,20.7,59,308.8,0
1555,40.6,61,308.8,0
1441,40.5,63,308.8,0
1450,43.4,66,308.7,0
1591,31.1,68,308.7,0
1445,48.5,70,308.7,0
1497,46.8,72,308.8,0
1621,32.7,75,308.8,0
1572,34.1,80,308.7,0
1872,22.5,82,308.6,0
1499,43.5,84,308.6,0
1498,39.5,89,308.7,0
1486,41.9,92,308.6,0
1680,29.4,95,308.6,0
1431,45.7,97,308.6,0
1564,34.1,99,308.7,0
1599,33,101,308.6,0
1707,28.1,103,308.6,0
1467,40.7,106,308.5,0
1433,44.7,108,308.7,0
1558,41.2,110,308.7,0
1310,50.7,112,308.8,0
1546,43.4,114,308.7,0
1727,29.4,116,308.7,0
1560,32.2,118,308.6,0
1329,60.5,120,308.6,0
1413,46.5,122,308.6,0
1587,38.6,124,308.6,0
1559,34.3,126,308.5,0
1473,41.1,128,308.4,0
1737,27.7,130,308.4,0
1441,43.2,132,308.4,0
1430,49.6,135,308.4,0
1369,53,138,308.4,0
1711,28.5,140,308.5,0
1420,45.7,143,308.5,0
1297,55.3,148,308.6,0
1449,49.4,150,308.6,0
1268,55.8,155,308.6,0
1511,36.1,157,308.6,0
1544,35.2,159,308.5,0
1778,28.2,161,308.4,0
1407,50.5,164,308.4,0
1391,42.4,169,308.4,0
1513,33.6,172,308.4,0
1612,36.1,174,308.4,0
1515,40.1,179,308.4,0
1379,48,181,308.3,0
1473,39.9,184,308.3,0
1422,42.7,186,308.3,0
1463,37.6,188,308.2,0
1584,41,191,308.2,0
1850,27,194,308.2,0
1528,36.2,196,308.2,0
1987,19.8,198,308.2,0
1495,46,203,308.1,0
1478,43.5,206,308.2,0
1499,40,211,308.2,0
1471,47,214,308.2,0
1282,60.7,216,308.2,1
1412,52.3,218,308.1,1
1586,35.5,0,308.1,0
1468,43.8,2,308.2,0
1440,43.6,5,308.3,0
1733,26,8,308.4,0
1612,32.6,10,308.2,0
1458,42.9,15,308.3,0
